Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
RSRTC - 198916,Express Non AC Seater 2+3,20:50,01:10,04h 20m,215,42 Seats available,3.7,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
RSRTC - 196315,Express Non AC Seater 2+3,21:00,01:15,04h 15m,215,42 Seats available,3.7,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),21:00,00:50,03h 50m,299,42 Seats available,"4.1
8",Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,23:00,03:00,04h 00m,400,30 Seats available,3.1,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
Milan Travels,A/C Seater / Sleeper (2+1),23:43,02:51,03h 08m,762,25 Seats available,4,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
Parshwanath Travel Pvt. Ltd,Bharat Benz A/C Sleeper (2+1),23:55,03:40,03h 45m,724,15 Seats available,3.9,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
Rytham Tours And Travels,NON A/C Sleeper (2+1),23:35,02:55,03h 20m,700,32 Seats available,2.9,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
RMB Travel Agency,NON A/C Seater/ Sleeper (2+1),23:39,04:34,04h 55m,350,25 Seats available,2.1,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
Salasar vaishnav travels,NON A/C Seater/ Sleeper (2+1),23:45,04:15,04h 30m,1425,38 Seats available,2.1,Sirohi (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur
